code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
603999,读者传媒,-1.809,7.6,7.59,7.66,7.41,7.74,6946060.0,3.01478,52252107.0,58.015,2.584,437760.0,175104.0
603998,方盛制药,-2.618,9.67,10.07,10.07,9.58,9.93,3469849.0,0.8160600000000001,33742670.0,69.071,4.134,416715.56649,411165.22824
603997,继峰股份,0.511,11.81,11.7,11.9,11.55,11.75,2635591.0,0.41835000000000006,30767302.0,25.674,4.169,753146.3752,744030.0
603996,中新科技,-0.921,17.22,17.24,17.54,17.16,17.38,2253750.0,2.18228,39085458.0,35.143,3.423,516858.3,177839.55
603993,洛阳钼业,1.718,8.29,8.17,8.45,8.01,8.15,231793442.0,1.7894,1911861722.0,59.214,4.601,17905770.443307,10738642.749471
603991,至正股份,-0.265,26.35,26.79,26.79,26.08,26.42,363836.0,0.8857,9559475.0,48.796,4.197,196399.71973,108242.94893
603990,麦迪科技,-1.176,37.82,38.05,38.27,37.68,38.27,446400.0,0.7406400000000001,16881890.0,59.094,7.136,306049.2732,227948.704
603989,艾华集团,1.259,36.99,36.88,37.3,36.38,36.53,1241579.0,1.4715,45890783.0,38.134,5.408,1109700.0,312103.125
603988,中电电机,2.069,29.6,28.81,29.74,28.28,29.0,1891305.0,1.5760900000000002,54831915.0,105.714,5.273,355200.0,355200.0
603987,康德莱,0.958,12.65,12.56,12.68,12.4,12.53,2391050.0,1.25797,30031802.0,33.289,3.179,399025.275,240440.38425
603986,兆易创新,-2.036,161.71,162.0,167.3,160.2,165.07,2922936.0,1.98373,476612676.0,81.261,19.158,3277533.978514,2382721.65485
603985,恒润股份,-0.593,31.84,32.03,32.35,31.73,32.03,476807.0,0.9312600000000001,15228041.0,25.16,2.469,254720.0,163020.8
603980,吉华集团,0.0,18.44,0.0,0.0,0.0,18.44,0.0,0.0,0.0,20.883,2.253,922000.0,184400.0
603979,金诚信,2.312,10.18,9.86,10.3,9.86,9.95,7178007.0,2.95196,72828994.0,29.086,1.534,595530.0,247537.20576
603978,深圳新星,4.686,48.92,46.0,49.99,45.02,46.73,7242079.0,18.1052,345380746.0,31.159,2.894,782720.0,195680.0
603977,国泰集团,-1.729,14.21,14.01,14.62,14.01,14.46,985779.0,0.7843600000000001,14119369.0,45.839,3.278,314154.68,178591.28
