code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,c_name
600586,金晶科技,-0.249,4.01,4.02,4.05,4.01,4.02,4421700,0.30845,17792437,150.752,1.389,584779.1421,574834.6228,玻璃行业
2623,亚玛顿,0.509,19.75,19.69,19.8,19.47,19.65,1382207,0.86619,27091882,179.545,1.459,316000,315157.9094,玻璃行业
601929,吉视传媒,0.358,2.8,2.79,2.82,2.78,2.79,9334439,0.30007,26150110,23.789,1.349,871024.3338,871024.3338,传媒娱乐
2181,粤 传 媒,1.389,4.38,4.33,4.4,4.31,4.32,2625740,0.23148,11458253,26.838,1.364,508543.4802,496829.2013,传媒娱乐
300148,天舟文化,1.988,6.67,6.53,6.69,6.5,6.54,21814545,2.88088,143907056,15.159,1.317,563571.2755,505064.8342,传媒娱乐
600757,长江传媒,1.322,6.9,6.81,6.92,6.81,6.81,4230575,0.34863,29107227,14.082,1.395,837418.6884,837313.0011,传媒娱乐
917,电广传媒,0.772,7.83,7.76,7.86,7.75,7.77,12775611,0.98682,99827262,32.625,1.032,1109946.613,1013691.18,传媒娱乐
665,湖北广电,1.167,10.4,10.37,10.46,10.29,10.28,6116195,0.96143,63521823,21.667,1.145,661666.1459,661605.1759,传媒娱乐
300291,华录百纳,-0.592,11.76,11.99,11.99,11.66,11.83,9148016,1.5334,107575134,22.835,1.492,955454.343,701582.1396,传媒娱乐
600551,时代出版,1.194,11.87,11.77,11.88,11.74,11.73,1509770,0.29848,17861762,14.914,1.193,600414.6264,600414.6264,传媒娱乐
600037,歌华有线,1.738,12.88,12.72,12.92,12.66,12.66,6630497,0.56751,84734731,24.717,1.405,1792609.915,1504837.409,传媒娱乐
504,南华生物,0.503,24,23.97,24.2,23.75,23.88,891711,0.28703,21344193,342.857,-490.798,747777.3624,745615.6824,传媒娱乐
1965,招商公路,-0.213,9.37,9.4,9.45,9.34,9.39,8515622,1.53486,79845704,14.048,1.395,5788984.173,519860.3713,次新股
600863,内蒙华电,0,2.71,2.71,2.73,2.69,2.71,9877757,0.17008,26712507,45.167,1.474,1573898.895,1573898.895,电力行业
600396,金山股份,0.37,2.71,2.7,2.72,2.69,2.7,2470465,0.21212,6683220,-4.456,1.212,399103.5474,315618.8405,电力行业
767,漳泽电力,0.366,2.74,2.73,2.75,2.72,2.73,3759025,0.12907,10280958,74.054,1.076,843082.168,797968.8489,电力行业
600795,国电电力,-0.336,2.97,2.98,2.99,2.95,2.98,39777690,0.20243,117875381,12.802,1.176,5836168.16,5836168.16,电力行业
