,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,period
0,002895,川恒股份,0.36,5.18,,7.95,,13341.38,9.06,,04-24,2017_4
1,600589,广东榕泰,0.19,35.71,,4.44,,13420.91,33.05,,04-24,2017_4
2,600137,浪莎股份,0.24,71.01,,4.93,,2295.36,70.55,,04-24,2017_4
3,002718,友邦吊顶,1.47,-0.68,,12.04,,12920.23,2.15,,04-24,2017_4
4,300109,新开源,0.55,17.02,,7.36,,9282.32,15.97,10派1转3,04-24,2017_4
5,600262,北方股份,0.22,120.0,,3.62,,3742.75,115.46,,04-24,2017_4
6,603198,迎驾贡酒,0.36,-57.65,,,,28824.65,-57.8,,04-24,2017_4
7,600486,扬农化工,1.86,30.91,,15.71,,57495.4,30.89,,04-24,2017_4
8,603538,美诺华,0.4,-54.55,,4.47,,4467.74,-43.33,10派1.8转2,04-24,2017_4
9,600123,兰花科创,0.68,-218.41,,8.69,,78160.03,-218.42,10派2.2,04-24,2017_4
10,601098,中南传媒,0.84,-16.0,,11.69,,151318.8,-16.15,,04-24,2017_4
11,000762,西藏矿业,0.07,58.99,,1.61,,3454.38,62.4,,04-24,2017_4
12,600537,亿晶光电,0.04,-87.1,,1.42,,4867.11,-86.45,,04-24,2017_4
13,000957,中通客车,0.32,-67.68,,7.13,,19121.17,-67.36,,04-24,2017_4
14,002026,山东威达,0.3,15.38,,5.47,,12554.82,20.75,,04-24,2017_4
15,600202,哈空调,-0.23,-51.69,,-13.69,,-8751.5,-51.7,,04-24,2017_4
16,300409,道氏技术,0.71,51.06,,12.41,,15211.95,50.4,,04-24,2017_4
17,300727,润禾材料,0.64,25.49,,17.0,,4818.61,32.79,,04-24,2017_4
18,600370,三房巷,0.06,-5.31,,3.51,,4408.89,-5.26,,04-24,2017_4
19,002274,华昌化工,0.09,87.34,,2.12,,5731.49,87.28,,04-24,2017_4
20,002337,赛象科技,0.02,0.0,,1.2,,1449.57,12.28,,04-24,2017_4
21,002746,仙坛股份,0.56,-62.42,,4.85,,10196.93,-58.47,,04-24,2017_4
22,600771,广誉远,0.67,52.27,,12.96,,23680.48,92.82,,04-24,2017_4
23,300391,康跃科技,0.37,1138.0,,9.44,,6971.7,1551.62,10派0.2,04-23,2017_4
24,002336,人人乐,-1.35,-990.21,,-26.42,,-53841.16,-990.22,,04-23,2017_4
25,000815,美利云,0.04,300.0,,1.29,,2549.78,622.22,,04-23,2017_4
26,300054,鼎龙股份,0.35,-31.37,3.74,10.02,,33634.11,40.08,10派0.1,04-23,2017_4
27,300262,巴安水务,0.21,-40.47,,6.94,,14349.49,1.84,,04-23,2017_4
28,002923,润都股份,1.21,3.42,,20.44,,9065.26,3.64,10派7转2,04-23,2017_4
29,002569,步森股份,-0.24,-580.0,,-6.65,,-3380.7,-612.26,,04-23,2017_4
30,002769,普路通,0.18,-64.71,,5.56,,6824.7,-64.25,10派0.33,04-23,2017_4
31,002832,比音勒芬,1.69,1.81,,13.24,,18022.4,35.92,10派10转7,04-23,2017_4
32,300471,厚普股份,0.09,-92.38,,1.94,,3248.37,-80.59,10派0.18,04-23,2017_4
33,603388,元成股份,0.47,-33.8,,13.92,,9178.27,73.05,10派1.5,04-23,2017_4
34,000912,*ST天化,-2.54,133.03,,,,-148770.4,133.47,,04-23,2017_4
35,300031,宝通科技,0.56,45.54,,8.49,,22100.59,57.05,10派1.15,04-23,2017_4
36,300551,古鳌科技,0.2,-68.95,,2.87,,1491.47,-60.77,10派0.6转5,04-23,2017_4
37,000967,盈峰环境,0.32,-5.88,,10.0,,35265.66,43.48,10派0.9,04-23,2017_4
38,300571,平治信息,1.21,-24.84,,33.11,,9702.73,100.36,10派2.5转5,04-23,2017_4
39,300168,万达信息,0.32,35.17,,13.39,,32650.7,37.03,10派0.38,04-23,2017_4
40,300645,正元智慧,0.69,-25.0,8.17,8.93,,4196.89,-8.27,10派2,04-23,2017_4
41,300693,盛弘股份,0.61,-34.41,,12.61,,4601.48,-27.95,10派3转5,04-23,2017_4
42,600776,东方通信,0.09,29.01,,3.94,,11820.87,29.01,10派0.6,04-23,2017_4
43,603269,海鸥股份,0.46,-16.36,,7.02,,3787.5,0.81,10派1.38,04-23,2017_4
44,002487,大金重工,0.08,-38.46,,2.41,,4149.95,-41.86,10派0.1,04-23,2017_4
45,300203,聚光科技,1.0,11.11,,15.25,,44890.7,11.58,10派1.8,04-23,2017_4
46,002627,宜昌交运,0.76,98.58,,9.07,,11082.94,117.8,10派1.5转10,04-23,2017_4
47,300730,科创信息,0.62,14.81,,,,4449.48,18.68,10派1转7,04-23,2017_4
48,002884,凌霄泵业,2.85,10.47,,22.79,,18836.59,25.5,10派8转6,04-23,2017_4
49,300712,永福股份,0.69,-0.86,,14.8,,7696.61,5.0,10派1,04-23,2017_4
50,300279,和晶科技,0.17,-62.27,,4.67,,7680.03,12.12,10派0.3,04-23,2017_4
51,002530,金财互联,0.47,193.75,,6.04,,23047.42,395.04,10派0.5转6,04-23,2017_4
52,603083,剑桥科技,0.8,-11.11,,8.28,,6060.05,-8.62,10派1.9转3,04-23,2017_4
53,300336,新文化,0.46,-6.12,,8.47,,24638.65,-7.09,10派0.5转5,04-23,2017_4
54,000703,恒逸石化,1.0,63.93,,14.21,,162198.96,95.34,10派2转4,04-23,2017_4
55,002872,天圣制药,1.31,-7.09,,9.98,,24857.54,10.73,10派2.36转5,04-23,2017_4
56,603789,星光农机,0.1,-41.81,,2.34,,2529.48,-23.83,,04-23,2017_4
57,002921,联诚精密,0.79,0.0,,10.88,,4709.71,-0.76,10派2.5,04-23,2017_4
58,000012,南玻A,0.35,-7.89,,10.15,,82538.83,3.47,10派0.5转1.5,04-23,2017_4
59,300675,建科院,0.27,-5.37,,11.33,,3398.78,7.76,10派0.65,04-23,2017_4
60,002299,圣农发展,0.26,-58.07,,4.79,,31509.67,-53.58,,04-23,2017_4
61,002830,名雕股份,0.39,-61.39,,8.8,,5157.96,1.98,10派1.2,04-23,2017_4
62,603809,豪能股份,1.82,15.49,,16.6,,14988.67,18.7,10派10转4,04-23,2017_4
63,000869,张裕A,1.51,5.59,,12.14,,103169.51,5.01,10派5,04-23,2017_4
64,300583,赛托生物,0.88,-30.16,,5.86,,9200.18,-9.07,,04-23,2017_4
65,300657,弘信电子,0.78,34.48,,12.85,,7228.32,59.33,,04-23,2017_4
66,002476,宝莫股份,0.01,-44.21,,0.84,,827.04,-44.23,10派0.1,04-23,2017_4
67,601966,玲珑轮胎,0.87,-5.43,,12.57,,104782.6,3.72,10派2.62,04-23,2017_4
68,002527,新时达,0.22,-20.71,,4.97,,13766.95,-19.56,10派0.7,04-23,2017_4
69,300165,天瑞仪器,0.22,83.33,,6.6,,10370.91,86.05,10派0.7,04-23,2017_4
70,300666,江丰电子,0.33,0.0,,14.98,,6403.46,16.55,10派0.53,04-23,2017_4
71,603188,亚邦股份,0.87,-23.6,,14.03,,50070.79,-23.6,10派0.5,04-23,2017_4
72,300718,长盛轴承,1.53,41.67,,19.78,,12149.36,50.46,10派3.7转9.8,04-23,2017_4
73,002224,三力士,0.24,-29.41,,9.86,,16079.28,-28.8,10派0.5,04-23,2017_4
74,002251,步步高,0.17,0.41,,2.37,,14645.33,10.36,10派1,04-23,2017_4
75,601218,吉鑫科技,0.01,-94.85,,0.24,,607.4,-94.83,10派0.1,04-23,2017_4
76,002898,赛隆药业,0.5,-2.78,,17.84,,6450.51,5.32,,04-23,2017_4
77,603886,元祖股份,0.85,23.19,,18.19,,20351.33,62.88,,04-23,2017_4
78,002073,软控股份,0.1,-110.76,,2.01,,9205.22,-111.93,,04-23,2017_4
79,002625,光启技术,0.07,-68.18,,1.17,,8085.57,22.62,10派0.11转7,04-23,2017_4
80,002907,华森制药,0.31,14.86,,20.67,,11198.75,17.01,10派0.71,04-23,2017_4
81,300468,四方精创,0.84,13.51,,9.82,,8816.34,16.57,,04-23,2017_4
82,300040,九洲电气,0.29,-25.64,,5.49,,10010.56,-23.3,10派0.5,04-23,2017_4
83,002663,普邦股份,0.09,50.0,,3.36,,15188.47,44.41,10派0.09,04-23,2017_4
84,002723,金莱特,0.04,16.43,,1.19,,766.77,16.43,,04-23,2017_4
85,300387,富邦股份,0.55,-20.29,,9.16,,6856.11,-19.64,10派1转8,04-23,2017_4
86,603661,恒林股份,2.15,-38.92,,19.63,,16573.03,-37.17,10派8.9,04-23,2017_4
87,002328,新朋股份,0.21,0.0,,3.9,,9206.09,-3.51,10派0.45,04-23,2017_4
88,002913,奥士康,1.56,-11.36,,18.52,,17315.15,-9.03,,04-23,2017_4
89,300089,文化长城,0.17,-51.43,,4.1,,7346.18,-46.3,,04-23,2017_4
90,603040,新坐标,1.83,48.78,,21.04,,10524.79,89.71,,04-23,2017_4
91,002708,光洋股份,0.03,-81.9,,0.79,,1205.7,-81.31,10派0.2,04-23,2017_4
92,300340,科恒股份,1.04,213.84,,9.02,,12240.1,264.44,10派2转8,04-23,2017_4
93,002127,南极电商,0.34,70.0,,27.26,,53429.16,77.42,10派0.62转5,04-23,2017_4
94,300386,飞天诚信,0.3,3.45,,7.78,,12517.45,4.67,10派0.5,04-23,2017_4
95,300407,凯发电气,0.24,-46.67,,6.82,,6414.64,-47.32,10派0.5,04-23,2017_4
96,002861,瀛通通讯,0.76,-32.74,,9.78,,8578.82,-17.63,,04-23,2017_4
97,002886,沃特股份,0.59,-37.08,,8.21,,4036.14,-26.83,,04-23,2017_4
98,300494,盛天网络,0.36,-21.74,,9.21,,8589.2,-21.74,,04-23,2017_4
99,300587,天铁股份,0.68,-24.44,,8.75,,7115.74,0.89,,04-23,2017_4
100,300133,华策影视,0.36,33.33,,9.55,,63443.27,32.6,10派0.37,04-23,2017_4
101,300661,圣邦股份,1.74,-3.01,,17.25,,9387.1,16.33,,04-23,2017_4
102,300236,上海新阳,0.37,33.46,,5.69,,7240.95,33.11,10派1.3,04-23,2017_4
103,600533,栖霞建设,0.05,-72.27,,1.4,,5416.95,-72.28,10派0.5,04-21,2017_4
104,600086,东方金钰,0.17,-7.86,,7.44,,23118.6,-7.83,,04-21,2017_4
105,000005,世纪星源,0.01,-85.87,,1.18,,1530.84,-85.91,,04-21,2017_4
106,600781,辅仁药业,0.94,840.0,,15.54,,39200.38,2120.14,10派1.28,04-21,2017_4
107,000548,湖南投资,0.26,116.67,,8.19,,13040.0,122.21,10派0.5,04-21,2017_4
108,002678,珠江钢琴,0.17,6.25,,6.9,,16470.13,8.72,10派0.8转3,04-21,2017_4
109,600425,*ST青松,0.04,-109.52,,1.26,,5060.42,-108.79,,04-21,2017_4
110,300417,南华仪器,0.46,6.02,,8.9,,3723.74,6.02,10派2.5,04-21,2017_4
111,000823,超声电子,0.36,2.49,,6.25,,19190.83,2.5,10派0.8,04-21,2017_4
112,601229,上海银行,1.96,-24.9,16.27,12.63,-7.78,1532849.9,7.13,10派5转4,04-21,2017_4
113,601801,皖新传媒,0.56,0.0,,12.48,,111667.71,5.48,10派1.7,04-21,2017_4
114,002047,宝鹰股份,0.29,7.41,,12.32,,36676.77,8.03,10派0.4,04-21,2017_4
115,300180,华峰超纤,0.45,104.55,,6.65,,24929.17,147.93,10派0.5转8,04-21,2017_4
116,000411,英特集团,0.4,-4.76,,10.42,,8349.05,-3.87,,04-21,2017_4
117,300654,世纪天鸿,0.41,-8.89,,10.44,,3136.48,0.15,,04-21,2017_4
118,000667,美好置业,0.26,-0.08,,9.7,,66438.24,-0.07,10派0.25,04-21,2017_4
119,002235,安妮股份,-0.88,-2507.65,,-16.63,,-36507.18,-3231.1,10转5,04-21,2017_4
120,600770,综艺股份,0.03,-12.69,,1.29,,4471.67,-12.72,,04-21,2017_4
121,002641,永高股份,0.17,-32.0,,7.37,,19265.43,-10.33,10派0.26,04-21,2017_4
122,300390,天华超净,0.09,80.0,,3.84,,3191.19,98.61,10派0.3,04-21,2017_4
123,000813,德展健康,0.36,-46.93,,19.2,,79717.77,20.48,,04-21,2017_4
