code,name
000001,平安银行
000002,万科A
000011,深物业A
000025,特力A
000028,国药一致
000070,特发信息
000089,深圳机场
000158,常山北明
000338,潍柴动力
000402,金融街
000488,晨鸣纸业
000507,珠海港
000513,丽珠集团
000517,荣安地产
000530,大冷股份
000532,华金资本
000538,云南白药
000544,中原环保
000545,金浦钛业
000546,金圆股份
000548,湖南投资
000559,万向钱潮
000568,泸州老窖
000581,威孚高科
000596,古井贡酒
000598,兴蓉环境
000623,吉林敖东
000632,三木集团
000656,金科股份
000661,长春高新
000665,湖北广电
000671,阳光城
000682,东方电子
000695,滨海能源
000705,浙江震元
000708,大冶特钢
000733,振华科技
000738,航发控制
000751,锌业股份
000766,通化金马
000768,中航飞机
000821,京山轻机
000826,启迪桑德
000828,东莞控股
000833,贵糖股份
000838,财信发展
000858,五粮液
000859,国风塑业
000860,顺鑫农业
000885,同力水泥
000889,茂业通信
000900,现代投资
000901,航天科技
000906,浙商中拓
000910,大亚圣象
000920,南方汇通
000938,紫光股份
000948,南天信息
000967,盈峰环境
000971,高升控股
000996,中国中期
000997,新大陆
000998,隆平高科
000999,华润三九
001979,招商蛇口
002003,伟星股份
002006,精功科技
002007,华兰生物
002008,大族激光
002014,永新股份
002016,世荣兆业
002017,东信和平
002019,亿帆医药
002020,京新药业
002027,分众传媒
002032,苏泊尔
002043,兔宝宝
002044,美年健康
002047,宝鹰股份
002050,三花智控
002051,中工国际
002074,国轩高科
002076,雪莱特
002080,中材科技
002083,孚日股份
002084,海鸥住工
002102,冠福股份
002108,沧州明珠
002115,三维通信
002117,东港股份
002118,紫鑫药业
002121,科陆电子
002126,银轮股份
002129,中环股份
002137,麦达数字
002139,拓邦股份
002141,贤丰控股
002151,北斗星通
002156,通富微电
002157,正邦科技
002158,汉钟精机
002162,悦心健康
002174,游族网络
002176,江特电机
002179,中航光电
002183,怡亚通
002184,海得控制
002185,华天科技
002189,利达光电
002195,二三四五
002200,云投生态
002202,金风科技
002203,海亮股份
002208,合肥城建
002219,恒康医疗
002223,鱼跃医疗
002236,大华股份
002238,天威视讯
002244,滨江集团
002253,川大智胜
002256,兆新股份
002258,利尔化学
002263,大东南
002268,卫士通
002275,桂林三金
002279,久其软件
002283,天润曲轴
002285,世联行
002287,奇正藏药
002294,信立泰
002307,北新路桥
002308,威创股份
002311,海大集团
002317,众生药业
002320,海峡股份
002322,理工环科
002327,富安娜
002328,新朋股份
002332,仙琚制药
002343,慈文传媒
002349,精华制药
002354,天神娱乐
002357,富临运业
002360,同德化工
002364,中恒电气
002372,伟星新材
002382,蓝帆医疗
002383,合众思壮
002391,长青股份
002393,力生制药
002396,星网锐捷
002403,爱仕达
002407,多氟多
002410,广联达
002415,海康威视
002416,爱施德
002421,达实智能
002433,太安堂
002434,万里扬
002439,启明星辰
002449,国星光电
002450,康得新
002460,赣锋锂业
002466,天齐锂业
002471,中超控股
002474,榕基软件
002475,立讯精密
002491,通鼎互联
002492,恒基达鑫
002507,涪陵榨菜
002508,老板电器
002518,科士达
002519,银河电子
002530,金财互联
002531,天顺风能
002537,海联金汇
002555,三七互娱
002562,兄弟科技
002567,唐人神
002572,索菲亚
002573,清新环境
002584,西陇科学
002585,双星新材
002590,万安科技
002597,金禾实业
002600,领益智造
002602,世纪华通
002607,亚夏汽车
002616,长青集团
002624,完美世界
002625,光启技术
002634,棒杰股份
002635,安洁科技
002642,荣之联
002643,万润股份
002644,佛慈制药
002657,中科金财
002664,长鹰信质
002668,奥马电器
002670,国盛金控
002672,东江环保
002677,浙江美大
002678,珠江钢琴
002680,长生生物
002681,奋达科技
002682,龙洲股份
002690,美亚光电
002696,百洋股份
002701,奥瑞金
002706,良信电器
002714,牧原股份
002717,岭南股份
002718,友邦吊顶
002722,金轮股份
002726,龙大肉食
002728,特一药业
002732,燕塘乳业
002734,利民股份
002738,中矿资源
002747,埃斯顿
002748,世龙实业
002749,国光股份
002758,华通医药
002762,金发拉比
002763,汇洁股份
002766,索菱股份
002768,国恩股份
002769,普路通
002772,众兴菌业
002775,文科园林
002786,银宝山新
002787,华源控股
002789,建艺集团
002793,东音股份
002800,天顺股份
002801,微光股份
002803,吉宏股份
002806,华锋股份
002815,崇达技术
002818,富森美
002821,凯莱英
002826,易明医药
002827,高争民爆
002831,裕同科技
002832,比音勒芬
002835,同为股份
002837,英维克
002838,道恩股份
002841,视源股份
002845,同兴达
002851,麦格米特
002859,洁美科技
002860,星帅尔
002862,实丰文化
002867,周大生
002872,天圣制药
002879,长缆科技
002882,金龙羽
002887,绿茵生态
002891,中宠股份
002895,川恒股份
002900,哈三联
002907,华森制药
002912,中新赛克
002917,金奥博
002919,名臣健康
002920,德赛西威
002923,润都股份
002928,华夏航空
002929,润建通信
002930,宏川智慧
002931,锋龙股份
300008,天海防务
300009,安科生物
300014,亿纬锂能
300015,爱尔眼科
300024,机器人
300036,超图软件
300038,梅泰诺
300044,赛为智能
300047,天源迪科
300050,世纪鼎利
300053,欧比特
300054,鼎龙股份
300064,豫金刚石
300068,南都电源
300070,碧水源
300072,三聚环保
300087,荃银高科
300109,新开源
300114,中航电测
300119,瑞普生物
300121,阳谷华泰
300127,银河磁体
300133,华策影视
300136,信维通信
300137,先河环保
300138,晨光生物
300144,宋城演艺
300149,量子高科
300153,科泰电源
300158,振东制药
300163,先锋新材
300166,东方国信
300168,万达信息
300172,中电环保
300176,鸿特精密
300184,力源信息
300185,通裕重工
300187,永清环保
300188,美亚柏科
300193,佳士科技
300194,福安药业
300197,铁汉生态
300201,海伦哲
